uid,GeneRawName,SuperClass,Class,Family,SubFamily,EnsemblID
1.2.2.1.4,MYF6,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,Myogenic TFs,ENSMUSG00000035923
1.2.2.2.1,ASCL1,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,ASC,ENSMUSG00000020052
1.2.2.2.2,ASCL2,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,ASC,ENSMUSG00000009248
1.2.2.2.3,ASCL3,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,ASC,ENSMUSG00000035951
1.2.2.2.4,ASCL4,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,ASC,ENSMUSG00000085111
1.2.2.2.5,ASCL5,Basic domains,Basic helix-loop-helix factors (bHLH),MyoD-ASC-related,ASC,ENSMUSG00000097918
1.2.3.1.1,TAL1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TAL-HEN,ENSMUSG00000028717
1.2.3.1.2,TAL2,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TAL-HEN,"ENSMUSG00000051251,ENSMUSG00000028417"
1.2.3.1.3,LYL1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TAL-HEN,ENSMUSG00000034041
1.2.3.1.4,HEN1 (NHLH1),Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TAL-HEN,ENSMUSG00000045662
1.2.3.1.5,HEN2 (NHLH2),Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TAL-HEN,ENSMUSG00000048540
1.2.3.2.1,TWIST1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000035799
1.2.3.2.2,TWIST2,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000007805
1.2.3.2.3,HAND1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000037335
1.2.3.2.4,HAND2,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000038193
1.2.3.2.5,TCF15 (bHLH-EC2),Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000068079
1.2.3.2.6,SCX,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000034161
1.2.3.2.7,PTF1A,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000026735
1.2.3.2.8,"FIGLA (FIGalpha, FIGalpha1, FIGalpha2, FIGalpha3, FIGalpha4, FIGalpha5)",Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,TWIST,ENSMUSG00000030001
1.2.3.3.1,"MESP1 (Mesp, Mespa, Mespb)",Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,MESP,ENSMUSG00000030544
1.2.3.3.2,MESP2,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,MESP,ENSMUSG00000030543
1.2.3.3.3,"TCF23 (ABF-1, MyoR, Musculin, msctcf2123)",Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,MESP,ENSMUSG00000006642
1.2.3.3.4,MSC,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,MESP,"ENSMUSG00000025930,ENSMUSG00000034248"
1.2.3.3.5,TCF21,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,MESP,ENSMUSG00000045680
1.2.3.3.6,MSGN1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,MESP,ENSMUSG00000047002
1.2.3.4.1,NEUROD1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000034701
1.2.3.4.2,NEUROD2,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000038255
1.2.3.4.3,NEUROD4,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000048015
1.2.3.4.4,NEUROD6,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000037984
1.2.3.4.5,NGN1/NEUROG1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000048904
1.2.3.4.6,NGN2/NEUROG2,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000027967
1.2.3.4.7,NGN3/NEUROG3,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000044312
1.2.3.4.8,ATOH1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000073043
1.2.3.4.9,ATOH7,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000036816
1.2.3.4.10,ATOH8,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000037621
1.2.3.4.11,BHLHE22,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000025128
1.2.3.4.12,BHLHE23,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000045493
1.2.3.4.13,OLIG1,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000046160
1.2.3.4.14,OLIG2,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000039830
1.2.3.4.15,OLIG3,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000045591
1.2.3.4.16,BHLHA15,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000052271
1.2.3.4.17,FERD3L,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,Neurogenin-ATO,ENSMUSG00000046518
1.2.3.5.1,BHLHA9,Basic domains,Basic helix-loop-helix factors (bHLH),Tal-related,BHLHA9,ENSMUSG00000044243
1.2.4.1.1,HES1,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,"ENSMUSG00000053329,ENSMUSG00000022528"
1.2.4.1.2,HES2,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000028940
1.2.4.1.3,HES3,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000028946
1.2.4.1.4,HES4,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,
1.2.4.1.5,HES5,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000048001
1.2.4.1.6,HES6,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000067071
1.2.4.1.7,HES7,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000023781
1.2.4.1.8,HEY1,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000040289
1.2.4.1.9,HEY2,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000019789
1.2.4.1.10,HEYL,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000032744
1.2.4.1.11,HELT,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000047171
1.2.4.1.12,DEC1/BHLHE40,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000030103
1.2.4.1.13,DEC2/BHLHE41,Basic domains,Basic helix-loop-helix factors (bHLH),Hairy-related,HAIRY,ENSMUSG00000030256
1.2.5.1.1,AhR,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000019256
1.2.5.1.2,AhRR,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,"ENSMUSG00000021575,ENSMUSG00000032315,ENSMUSG00000034152"
1.2.5.1.3,SIM1,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000019913
1.2.5.1.4,SIM2,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000062713
1.2.5.1.5,HIF1A (hif1alpha),Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000021109
1.2.5.1.6,HIF3A (hif3alpha),Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000004328
1.2.5.1.7,EPAS1,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000024140
1.2.5.1.8,NPAS1,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000001988
1.2.5.1.9,NPAS3,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-AHR,ENSMUSG00000021010
1.2.5.2.1,ARNT,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-ARNT,"ENSMUSG00000015522,ENSMUSG00000056050"
1.2.5.2.2,ARNT2,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-ARNT,ENSMUSG00000015709
1.2.5.2.3,"ARNTL (arntla, arntlb)",Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-ARNT,ENSMUSG00000055116
1.2.5.2.4,"ARNTL2 (arntl2a, arntl2b)",Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-ARNT,ENSMUSG00000040187
1.2.5.2.5,CLOCK,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-ARNT,ENSMUSG00000029238
1.2.5.2.6,"NPAS2 (npas2a, npas2b)",Basic domains,Basic helix-loop-helix factors (bHLH),PAS,PAS-ARNT,ENSMUSG00000026077
1.2.5.3.1,NCOA1,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,NCOA,ENSMUSG00000020647
1.2.5.3.2,NCOA2,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,NCOA,ENSMUSG00000005886
1.2.5.3.3,NCOA3,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,NCOA,ENSMUSG00000027678
1.2.5.4.1,NPAS4,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,NPAS4,ENSMUSG00000045903
1.2.5.5.1,SOHLH1,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,SOHLH,ENSMUSG00000059625
1.2.5.5.2,SOHLH2,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,SOHLH,ENSMUSG00000027794
1.2.5.5.3,TCFL5,Basic domains,Basic helix-loop-helix factors (bHLH),PAS,SOHLH,ENSMUSG00000038932
1.2.6.1.1,TFE3,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,TFE3,ENSMUSG00000000134
1.2.6.1.2,TFEB,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,TFE3,ENSMUSG00000023990
1.2.6.1.3,TFEC,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,TFE3,ENSMUSG00000029553
1.2.6.1.4,MiTF,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,TFE3,"ENSMUSG00000035158,ENSMUSG00000024029"
1.2.6.2.1,USF1,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,USF,ENSMUSG00000026641
1.2.6.2.2,USF2,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,USF,ENSMUSG00000058239
1.2.6.3.1,SREBF1,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,SREBF,ENSMUSG00000020538
1.2.6.3.2,SREBF2,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,SREBF,ENSMUSG00000022463
1.2.6.4.1,AP-4,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,AP4,ENSMUSG00000005718
1.2.6.5.1,c-MYC,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MYC,ENSMUSG00000022346
1.2.6.5.2,NMYC,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MYC,ENSMUSG00000037169
1.2.6.5.3,LMYC1 (lmyc),Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MYC,ENSMUSG00000028654
1.2.6.5.5,MAX,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MYC,ENSMUSG00000059436
1.2.6.5.6,SMYC,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MYC,
1.2.6.5.7,B-MYC,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MYC,
1.2.6.6.1,MLX (BHLHD13),Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MONDOlike,"ENSMUSG00000017801,ENSMUSG00000005373"
1.2.6.6.2,MONDOA,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MONDOlike,ENSMUSG00000038342
1.2.6.6.3,MONDOB,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MONDOlike,ENSMUSG00000005373
1.2.6.7.1,MXD1,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MAD,ENSMUSG00000001156
1.2.6.7.2,MXD3,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MAD,ENSMUSG00000021485
1.2.6.7.3,MXD4,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MAD,ENSMUSG00000037235
1.2.6.7.4,MAD5,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MAD,"ENSMUSG00000033943,ENSMUSG00000068587"
1.2.6.7.5,MXI1,Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MAD,ENSMUSG00000025025
1.2.6.7.6,MNT (BHLHD3),Basic domains,Basic helix-loop-helix factors (bHLH),bHLH-ZIP,MAD,ENSMUSG00000000282
1.2.8.0.1,Id1,Basic domains,Basic helix-loop-helix factors (bHLH),HLH only,Id,ENSMUSG00000042745
1.2.8.0.2,Id2,Basic domains,Basic helix-loop-helix factors (bHLH),HLH only,Id,ENSMUSG00000020644
1.2.8.0.3,Id3,Basic domains,Basic helix-loop-helix factors (bHLH),HLH only,Id,"ENSMUSG00000007872,ENSMUSG00000111021"
1.2.8.0.4,Id4,Basic domains,Basic helix-loop-helix factors (bHLH),HLH only,Id,ENSMUSG00000021379
1.3.1.0.1,AP-2alpha,Basic domains,Basic helix-span-helix factors (bHSH),AP2,,ENSMUSG00000021359
1.3.1.0.2,AP-2beta,Basic domains,Basic helix-span-helix factors (bHSH),AP2,,ENSMUSG00000025927
1.3.1.0.3,AP-2gamma,Basic domains,Basic helix-span-helix factors (bHSH),AP2,,ENSMUSG00000028640
1.3.1.0.4,AP-2delta,Basic domains,Basic helix-span-helix factors (bHSH),AP2,,ENSMUSG00000042596
1.3.1.0.5,AP-2epsilon,Basic domains,Basic helix-span-helix factors (bHSH),AP2,,ENSMUSG00000042477
2.1.1.1.1,GR (NR3C1),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,GR-like(NR3C),ENSMUSG00000024431
2.1.1.1.2,MR (NR3C2),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,GR-like(NR3C),ENSMUSG00000031618
2.1.1.1.3,PR (NR3C3),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,GR-like(NR3C),ENSMUSG00000031870
2.1.1.1.4,AR (NR3C4),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,GR-like(NR3C),"ENSMUSG00000001642,ENSMUSG00000046532,ENSMUSG00000029378,ENSMUSG00000032274,ENSMUSG00000018861"
2.1.1.2.1,"ERALPHA (ESR1, NR3A1)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,ER-like(NR3A),ENSMUSG00000019768
2.1.1.2.2,"ERBETA (ESR2, NR3A2)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,ER-like(NR3A),ENSMUSG00000021055
2.1.1.2.3,"ERR1 (ERRalpha, NR3B1)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,ER-like(NR3A),ENSMUSG00000024955
2.1.1.2.4,"ERR2 (ERRbeta, NR3B2, err23)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,ER-like(NR3A),ENSMUSG00000021255
2.1.1.2.5,"ERR3 (ERRgamma, NR3B3)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Steroid hormone receptors,ER-like(NR3A),ENSMUSG00000026610
2.1.2.1.1,"RARALPHA (RARA, NR1B1)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,RAR(NR1B),ENSMUSG00000037992
2.1.2.1.2,"RARBETA (RARB, NR1B2)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,RAR(NR1B),ENSMUSG00000017491
2.1.2.1.3,"RARGAMMA (RARG, NR1B3)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,RAR(NR1B),ENSMUSG00000001288
2.1.2.2.1,T3RALPHA (NR1A1),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,T3R(NR1A),ENSMUSG00000058756
2.1.2.2.2,T3RBETA (NR1A2),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,T3R(NR1A),ENSMUSG00000021779
2.1.2.3.1,REV-ERBAALPHA (NR1D1),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,REVERBA(NR1D),ENSMUSG00000020889
2.1.2.3.2,REV-ERBABETA (NR1D2),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,REVERBA(NR1D),ENSMUSG00000021775
2.1.2.4.1,VDR(NR1I1),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,VDR(NR1I),"ENSMUSG00000006724,ENSMUSG00000022479"
2.1.2.4.2,PXR (NR1I2),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,VDR(NR1I),"ENSMUSG00000022805,ENSMUSG00000022809"
2.1.2.4.3,CAR (NR1I3),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,VDR(NR1I),ENSMUSG00000005677
2.1.2.5.1,"PPARALPHA (NR1C1, pparalpha2)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,PPAR(NR1C),ENSMUSG00000022383
2.1.2.5.2,PPARBETA (NR1C2),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,PPAR(NR1C),ENSMUSG00000002250
2.1.2.5.3,PPARGAMMA (NR1C3),Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,PPAR(NR1C),ENSMUSG00000000440
2.1.2.6.1,"RORALPHA (RORABa, NR1F1)",Zinc-coordinating DNA-binding domains,Nuclear receptors with C4 zinc fingers,Thyroid hormone receptor-related factors,ROR(NR1F),ENSMUSG00000032238
